"Story","Title","Result","Date","Stability","Duration (s)"
"To Test Admin menu Person in Organisation Option","To Test Admin menu Person in Organisation Option","ERROR","2023-11-20T17:58:01.7796583+05:30[Asia/Calcutta]","0.0","112.4"
"To Test Admin menu User Groups in Organisation Option","To Test Admin menu User Groups in Organisation Option","SUCCESS","2023-11-20T17:59:55.4829164+05:30[Asia/Calcutta]","0.0","101.56"
"To Test Admin menu Business Entities in Organisation Option","To Test Admin menu Business Entities in Organisation Option","SUCCESS","2023-11-20T18:01:38.1468682+05:30[Asia/Calcutta]","0.0","97.38"
"To Test Admin menu Indicator Statements in Risk Framework option","To Test Admin menu Indicator Statements New Standard Statement in Risk Framework option","SUCCESS","2023-11-20T18:03:16.5013073+05:30[Asia/Calcutta]","0.0","107.56"
"To Test Admin menu Indicator Statements in Risk Framework option","To Test Admin menu Indicator Statements New Dimension Statement in Risk Framework option","FAILURE","2023-11-20T18:05:04.9313605+05:30[Asia/Calcutta]","0.0","72.14"
"To Test Admin menu Indicator Statements in Risk Framework option","To Test Admin menu Indicator Statements New Register Statement in Risk Framework option","SUCCESS","2023-11-20T18:06:18.0835771+05:30[Asia/Calcutta]","0.0","103.94"
"To Test Admin menu Risk Map builder in Risk Framework option","To Test Admin menu Risk Map builder in Risk Framework option","SUCCESS","2023-11-20T18:08:02.983289+05:30[Asia/Calcutta]","0.0","117.29"
"To Test Admin menu Requirements in Task Admin Option","To Test Admin menu Requirements in Task Admin Optionn","SUCCESS","2023-11-20T18:12:08.9999439+05:30[Asia/Calcutta]","0.0","114.71"
"To Test Controlgap Editissue functionality","To Test Controlgap Editissue functionality","FAILURE","2023-11-20T18:14:04.9563264+05:30[Asia/Calcutta]","0.0","110.93"
"To Test Controlgap addissue functionality","To Test Controlgap addissue functionality","FAILURE","2023-11-20T18:15:57.3131541+05:30[Asia/Calcutta]","0.0","71.05"
"To test the issue raising OneSumX  application","To validate the issue raising process in OneSumX","ERROR","2023-11-20T18:20:03.6163506+05:30[Asia/Calcutta]","0.0","68.79"
"To Test the Libraries functionality","To Test the Control fuction in Libraries","FAILURE","2023-11-20T18:21:12.5031586+05:30[Asia/Calcutta]","0.0","73.02"
"To Test the Authoritative source Functionality","To Test the Authoritative source Functionality","FAILURE","2023-11-20T18:24:40.6218558+05:30[Asia/Calcutta]","0.0","76.22"
"To Test the Libraries Question Set Functionality","To Test the Libraries Question Set Functionality","FAILURE","2023-11-20T18:28:49.1688782+05:30[Asia/Calcutta]","0.0","73.83"
